Wavenumber	40C-20C	45C-20C	45C-40C	50C-20C	50C-40C	50C-45C
1.640999628999999914e+04	3.851999999999999869e-02	4.583000000000003737e-02	7.310000000000038689e-03	5.537000000000003030e-02	1.685000000000003162e-02	9.539999999999992930e-03
1.640308569999999963e+04	3.856999999999999318e-02	4.591000000000000636e-02	7.340000000000013181e-03	5.584000000000000075e-02	1.727000000000000757e-02	9.929999999999994387e-03
1.639618115000000034e+04	3.859000000000001318e-02	4.558000000000000940e-02	6.989999999999996216e-03	5.636000000000002119e-02	1.777000000000000801e-02	1.078000000000001180e-02
1.638928264000000127e+04	3.857999999999994767e-02	4.489999999999999547e-02	6.320000000000047802e-03	5.681999999999998163e-02	1.824000000000003396e-02	1.191999999999998616e-02
1.638239016000000083e+04	3.854999999999997318e-02	4.402000000000000357e-02	5.470000000000030393e-03	5.713999999999996859e-02	1.858999999999999542e-02	1.311999999999996502e-02
1.637550368999999955e+04	3.848999999999996868e-02	4.304999999999997717e-02	4.560000000000008491e-03	5.724999999999996758e-02	1.875999999999999890e-02	1.419999999999999041e-02
1.636862322999999924e+04	3.842000000000000970e-02	4.215999999999997527e-02	3.739999999999965574e-03	5.712000000000000410e-02	1.869999999999999440e-02	1.496000000000002883e-02
1.636174877000000015e+04	3.832000000000002071e-02	4.143999999999997685e-02	3.119999999999956142e-03	5.673000000000000265e-02	1.840999999999998193e-02	1.529000000000002579e-02
1.635488031000000046e+04	3.821000000000002172e-02	4.100999999999999091e-02	2.799999999999969180e-03	5.615999999999998771e-02	1.794999999999996598e-02	1.514999999999999680e-02
1.634801783000000069e+04	3.804999999999997273e-02	4.083999999999998742e-02	2.790000000000014690e-03	5.542999999999997929e-02	1.738000000000000655e-02	1.458999999999999186e-02
1.634116133000000082e+04	3.784999999999999476e-02	4.094000000000003192e-02	3.090000000000037161e-03	5.464000000000002188e-02	1.679000000000002712e-02	1.369999999999998996e-02
1.633431079999999929e+04	3.759000000000001229e-02	4.121000000000002439e-02	3.620000000000012097e-03	5.386000000000001897e-02	1.627000000000000668e-02	1.264999999999999458e-02
1.632746623999999974e+04	3.728000000000003533e-02	4.153000000000001135e-02	4.249999999999976019e-03	5.312000000000000055e-02	1.583999999999996522e-02	1.158999999999998920e-02
1.632062763000000086e+04	3.690999999999999837e-02	4.177999999999998382e-02	4.869999999999985452e-03	5.241999999999996662e-02	1.550999999999996826e-02	1.063999999999998280e-02
1.631379497000000083e+04	3.649999999999997691e-02	4.187999999999997280e-02	5.379999999999995897e-03	5.177999999999999270e-02	1.528000000000001579e-02	9.900000000000019895e-03
1.630696824999999990e+04	3.605999999999998096e-02	4.172999999999998932e-02	5.670000000000008367e-03	5.114999999999997327e-02	1.508999999999999231e-02	9.419999999999983942e-03
1.630014745000000039e+04	3.561000000000003052e-02	4.131000000000001338e-02	5.699999999999982858e-03	5.050999999999999934e-02	1.489999999999996882e-02	9.199999999999985967e-03
1.629333258999999998e+04	3.516999999999997906e-02	4.063999999999995394e-02	5.469999999999974882e-03	4.985999999999995991e-02	1.468999999999998085e-02	9.220000000000005969e-03
1.628652363999999943e+04	3.473999999999999311e-02	3.975000000000000755e-02	5.010000000000014442e-03	4.919999999999996598e-02	1.445999999999997288e-02	9.449999999999958433e-03
1.627972060000000056e+04	3.432999999999997165e-02	3.871999999999997666e-02	4.390000000000005009e-03	4.853999999999997206e-02	1.421000000000000041e-02	9.819999999999995399e-03
1.627292345000000023e+04	3.392000000000000570e-02	3.761999999999998678e-02	3.699999999999981082e-03	4.792000000000001814e-02	1.400000000000001243e-02	1.030000000000003135e-02
1.626613220999999976e+04	3.350000000000002975e-02	3.654000000000001691e-02	3.039999999999987157e-03	4.738000000000003320e-02	1.388000000000000345e-02	1.084000000000001629e-02
1.625934684999999990e+04	3.304000000000001380e-02	3.551999999999999602e-02	2.479999999999982219e-03	4.692000000000001725e-02	1.388000000000000345e-02	1.140000000000002123e-02
1.625256735999999910e+04	3.251999999999999336e-02	3.459999999999996412e-02	2.079999999999970761e-03	4.653999999999997028e-02	1.401999999999997693e-02	1.194000000000000616e-02
1.624579375000000073e+04	3.193999999999996842e-02	3.376999999999996671e-02	1.829999999999998295e-03	4.618999999999995332e-02	1.424999999999998490e-02	1.241999999999998661e-02
1.623902599999999984e+04	3.128999999999998449e-02	3.306000000000003380e-02	1.770000000000049312e-03	4.585000000000000187e-02	1.456000000000001737e-02	1.278999999999996806e-02
1.623226410000000033e+04	3.060999999999997057e-02	3.244999999999997886e-02	1.840000000000008296e-03	4.547999999999996490e-02	1.486999999999999433e-02	1.302999999999998604e-02
1.622550806000000011e+04	2.993000000000001215e-02	3.196999999999999842e-02	2.039999999999986269e-03	4.505999999999998895e-02	1.512999999999997680e-02	1.308999999999999053e-02
1.621875784999999996e+04	2.933000000000002272e-02	3.160999999999997145e-02	2.279999999999948734e-03	4.461999999999999300e-02	1.528999999999997028e-02	1.301000000000002155e-02
1.621201346999999987e+04	2.883999999999997677e-02	3.140999999999999348e-02	2.570000000000016716e-03	4.417999999999999705e-02	1.534000000000002029e-02	1.277000000000000357e-02
1.620527492999999959e+04	2.852999999999999980e-02	3.138999999999997348e-02	2.859999999999973674e-03	4.381999999999997009e-02	1.528999999999997028e-02	1.242999999999999661e-02
1.619854219000000012e+04	2.844000000000002082e-02	3.157000000000004247e-02	3.130000000000021654e-03	4.359000000000001762e-02	1.514999999999999680e-02	1.201999999999997515e-02
1.619181526999999915e+04	2.854000000000000981e-02	3.192000000000000393e-02	3.379999999999994120e-03	4.349999999999998312e-02	1.495999999999997332e-02	1.157999999999997920e-02
1.618509415000000081e+04	2.878999999999998227e-02	3.239999999999998437e-02	3.610000000000002096e-03	4.354000000000002313e-02	1.475000000000004086e-02	1.114000000000003876e-02
1.617837881999999991e+04	2.912000000000003475e-02	3.295000000000003482e-02	3.830000000000000071e-03	4.365000000000002212e-02	1.452999999999998737e-02	1.069999999999998730e-02
1.617166928999999982e+04	2.942999999999995620e-02	3.347999999999995424e-02	4.049999999999998046e-03	4.371999999999998110e-02	1.429000000000002490e-02	1.024000000000002686e-02
1.616496552999999949e+04	2.963000000000004519e-02	3.390000000000004121e-02	4.269999999999996021e-03	4.361999999999999211e-02	1.398999999999994692e-02	9.719999999999950901e-03
1.615826754000000074e+04	2.962999999999998968e-02	3.410999999999997367e-02	4.479999999999983995e-03	4.325000000000001066e-02	1.362000000000002098e-02	9.140000000000036984e-03
1.615157531999999992e+04	2.935999999999999721e-02	3.404999999999996918e-02	4.689999999999971969e-03	4.253000000000001224e-02	1.317000000000001503e-02	8.480000000000043059e-03
1.614488885999999911e+04	2.881000000000000227e-02	3.366999999999997772e-02	4.859999999999975451e-03	4.145999999999999686e-02	1.264999999999999458e-02	7.790000000000019131e-03
1.613820815000000039e+04	2.799000000000001487e-02	3.298000000000000931e-02	4.989999999999994440e-03	4.011000000000003451e-02	1.212000000000001965e-02	7.130000000000025207e-03
1.613153318000000036e+04	2.695999999999998398e-02	3.198000000000000842e-02	5.020000000000024443e-03	3.860000000000002318e-02	1.164000000000003920e-02	6.620000000000014762e-03
