wavenumber	20°C	40°C	45°C	50°C
16493,39745	0,41489	0,45551	0,46236	0,47439
16486,41375	0,41134	0,45148	0,45723	0,47021
16479,43618	0,4079	0,44753	0,45216	0,46612
16472,46474	0,40452	0,44365	0,44732	0,46207
16465,49942	0,40115	0,43985	0,44287	0,45805
16458,54022	0,39774	0,43612	0,4389	0,45402
16451,58712	0,39427	0,43245	0,43542	0,45
16444,64012	0,39074	0,42884	0,43238	0,44602
16437,6992	0,38718	0,4253	0,42967	0,44213
16430,76437	0,38359	0,4218	0,42712	0,43838
16423,83561	0,38004	0,41835	0,42458	0,43484
16416,91292	0,37653	0,41496	0,42189	0,43153
16409,99629	0,37309	0,41161	0,41892	0,42846
16403,0857	0,36973	0,4083	0,41564	0,42557
16396,18115	0,36645	0,40504	0,41203	0,42281
16389,28264	0,36326	0,40184	0,40816	0,42008
16382,39016	0,36013	0,39868	0,40415	0,41727
16375,50369	0,35708	0,39557	0,40013	0,41433
16368,62323	0,35409	0,39251	0,39625	0,41121
16361,74877	0,35119	0,38951	0,39263	0,40792
16354,88031	0,34836	0,38657	0,38937	0,40452
16348,01783	0,34564	0,38369	0,38648	0,40107
16341,16133	0,34302	0,38087	0,38396	0,39766
16334,3108	0,34051	0,3781	0,38172	0,39437
16327,46624	0,33812	0,3754	0,37965	0,39124
16320,62763	0,33584	0,37275	0,37762	0,38826
16313,79497	0,33365	0,37015	0,37553	0,38543
16306,96825	0,33154	0,3676	0,37327	0,38269
16300,14745	0,32948	0,36509	0,37079	0,37999
16293,33259	0,32745	0,36262	0,36809	0,37731
16286,52364	0,32544	0,36018	0,36519	0,37464
16279,7206	0,32345	0,35778	0,36217	0,37199
16272,92345	0,32148	0,3554	0,3591	0,3694
16266,13221	0,31954	0,35304	0,35608	0,36692
16259,34685	0,31766	0,3507	0,35318	0,36458
16252,56736	0,31585	0,34837	0,35045	0,36239
16245,79375	0,31413	0,34607	0,3479	0,36032
16239,026	0,31249	0,34378	0,34555	0,35834
16232,2641	0,31091	0,34152	0,34336	0,35639
16225,50806	0,30934	0,33927	0,34131	0,3544
16218,75785	0,30773	0,33706	0,33934	0,35235
16212,01347	0,30603	0,33487	0,33744	0,35021
16205,27493	0,30418	0,33271	0,33557	0,348
16198,54219	0,30215	0,33059	0,33372	0,34574
16191,81527	0,29997	0,32851	0,33189	0,34347
16185,09415	0,29767	0,32646	0,33007	0,34121
16178,37882	0,29533	0,32445	0,32828	0,33898
16171,66929	0,29304	0,32247	0,32652	0,33676
16164,96553	0,29089	0,32052	0,32479	0,33451
16158,26754	0,28898	0,31861	0,32309	0,33223
16151,57532	0,28736	0,31672	0,32141	0,32989
16144,88886	0,28604	0,31485	0,31971	0,3275
16138,20815	0,285	0,31299	0,31798	0,32511
16131,53318	0,28419	0,31115	0,31617	0,32279
